word,tf-idf,book
ceived,2.798145114283571e-05,war_peace.txt
favor,3.730860152378095e-05,war_peace.txt
official,3.84744953213991e-05,war_peace.txt
circles,2.798145114283571e-05,war_peace.txt
capital,4.780164570234434e-05,war_peace.txt
became,0.0001795476448331958,war_peace.txt
interested,3.497681392854464e-05,war_peace.txt
move,0.00013524368052370594,war_peace.txt
ment,0.00018187943242843212,war_peace.txt
decided,0.00010143276039277946,war_peace.txt
abroad,3.61427077261628e-05,war_peace.txt
study,0.00013407778672608778,war_peace.txt
year,0.00012708242394037886,war_peace.txt
Europe,5.596290228567142e-05,war_peace.txt
At,0.0003486022454878282,war_peace.txt
opened,0.00013757546811894223,war_peace.txt
established,2.798145114283571e-05,war_peace.txt
harmful,2.215198215474494e-05,war_peace.txt
education,2.0986088357126783e-05,war_peace.txt
served,4.080628291663541e-05,war_peace.txt
between,0.00024716948509504876,war_peace.txt
recently,1.515661936903601e-05,war_peace.txt
By,5.712879608328958e-05,war_peace.txt
end,0.0002156903525593586,war_peace.txt
ex,0.00021685624635697676,war_peace.txt
activities,1.515661936903601e-05,war_peace.txt
retired,3.264502633330833e-05,war_peace.txt
drink,5.013343329758065e-05,war_peace.txt
marriage,7.111952165470743e-05,war_peace.txt
married,8.044667203565267e-05,war_peace.txt
sixteen,2.215198215474494e-05,war_peace.txt
daugh,1.1658937976181545e-05,war_peace.txt
ter,0.00011775527355943362,war_peace.txt
doctor,0.00015739566267845088,war_peace.txt
Their,3.730860152378095e-05,war_peace.txt
tranquil,1.9820194559508627e-05,war_peace.txt
cares,2.0986088357126783e-05,war_peace.txt
occupied,0.00010376454798801575,war_peace.txt
Countess,0.0001364095743213241,war_peace.txt
she,0.003182890067497562,war_peace.txt
bore,3.3810920130926486e-05,war_peace.txt
thirteen,1.28248317737997e-05,war_peace.txt
children,0.00012475063634514254,war_peace.txt
nine,2.9147344940453866e-05,war_peace.txt
whom,0.00045703036866631664,war_peace.txt
Yet,3.9640389119017254e-05,war_peace.txt
also,0.0003054641749759565,war_peace.txt
acted,2.6815557345217555e-05,war_peace.txt
husband,0.00016322513166654165,war_peace.txt
writ,1.1658937976181545e-05,war_peace.txt
ing,0.0012836490711775883,war_peace.txt
novel,1.28248317737997e-05,war_peace.txt
i,6.062647747614404e-05,war_peace.txt
o,0.00012008706115466991,war_peace.txt
absorbed,3.61427077261628e-05,war_peace.txt
effort,8.860792861897975e-05,war_peace.txt
frequently,1.515661936903601e-05,war_peace.txt
Mos,7.111952165470743e-05,war_peace.txt
cow,7.69489906427982e-05,war_peace.txt
letters,7.22854154523256e-05,war_peace.txt
whole,0.0006155919251423856,war_peace.txt
cal,1.9820194559508627e-05,war_peace.txt
material,2.0986088357126783e-05,war_peace.txt
period,4.780164570234434e-05,war_peace.txt
